filename,filepath,category,area,volume,aabb_volume,compactness,diameter,convexity,eccentricity,A3_0,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,A3_9,D1_0,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D2_0,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D3_0,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,D3_7,D3_8,D3_9,D4_0,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9
m919_10446.obj,normalized_data/RectangleTable/m919_10446.obj,RectangleTable,3.509,0.058,0.809,13010.707,1.582,0.076,1.793,0.1155,0.1825,0.2175,0.163,0.123,0.099,0.046,0.03,0.016,0.0075,0.0005045408678102926,0.01917255297679112,0.028254288597376387,0.12714429868819374,0.35317860746720486,0.25630676084762866,0.09838546922300706,0.05095862764883956,0.037840565085771945,0.028254288597376387,0.031547320981472206,0.07811717576364546,0.10065097646469705,0.10265398097145718,0.11717576364546821,0.18227341011517276,0.18828242363545317,0.11667501251877817,0.06559839759639459,0.01702553830746119,0.00754906894816306,0.05284348263714142,0.10518369401107197,0.13839959738298943,0.13839959738298943,0.15198792148968293,0.14846502264720685,0.12380473074987418,0.0926019124308002,0.04076497232008052,0.0255,0.1195,0.1995,0.195,0.1475,0.1225,0.095,0.059,0.0335,0.003
m890_11005.obj,normalized_data/RectangleTable/m890_11005.obj,RectangleTable,3.488,0.079,0.377,6808.953,1.169,0.256,3.148,0.116,0.17,0.1935,0.168,0.1485,0.095,0.0545,0.029,0.02,0.0055,0.007,0.036,0.0695,0.345,0.3055,0.2285,0.0085,0.0,0.0,0.0,0.0525,0.1095,0.1365,0.2015,0.1835,0.201,0.0975,0.0175,0.0005,0.0,0.017,0.079,0.162,0.203,0.22,0.183,0.111,0.024,0.001,0.0,0.037,0.182,0.2695,0.23,0.169,0.088,0.024,0.0005,0.0,0.0
m914_9087.obj,normalized_data/RectangleTable/m914_9087.obj,RectangleTable,1.273,-0.01,0.104,22421.831,1.067,-0.1,27.861,0.221,0.211,0.103,0.101,0.127,0.0895,0.0575,0.042,0.035,0.013,0.0135,0.0645,0.16,0.1635,0.476,0.1225,0.0,0.0,0.0,0.0,0.092,0.187,0.2045,0.1065,0.102,0.1175,0.175,0.0155,0.0,0.0,0.042,0.1885,0.246,0.2315,0.194,0.097,0.001,0.0,0.0,0.0,0.1,0.3395,0.3725,0.1625,0.0245,0.001,0.0,0.0,0.0,0.0
m888_9545.obj,normalized_data/RectangleTable/m888_9545.obj,RectangleTable,1.719,0.039,0.281,3327.5,1.252,0.139,5.082,0.1505,0.1945,0.1535,0.141,0.1295,0.098,0.064,0.035,0.026,0.008,0.009,0.0935,0.121,0.1465,0.1635,0.3275,0.135,0.004,0.0,0.0,0.0425,0.1045,0.1505,0.2015,0.158,0.1025,0.1175,0.1125,0.0105,0.0,0.018,0.0905,0.168,0.191,0.183,0.156,0.135,0.0555,0.003,0.0,0.0495,0.21,0.2225,0.2155,0.166,0.0985,0.036,0.002,0.0,0.0
D00243_11394.obj,normalized_data/RectangleTable/D00243_11394.obj,RectangleTable,2.502,0.036,0.237,11876.742,1.105,0.204,8.848,0.1845,0.219,0.139,0.1025,0.093,0.0905,0.0725,0.05,0.0365,0.0125,0.008,0.166,0.207,0.2025,0.336,0.072,0.0085,0.0,0.0,0.0,0.084,0.187,0.229,0.186,0.1245,0.112,0.072,0.0055,0.0,0.0,0.0355,0.194,0.259,0.2535,0.1925,0.0545,0.011,0.0,0.0,0.0,0.115,0.3415,0.3345,0.1555,0.0455,0.008,0.0,0.0,0.0,0.0
m915_9079.obj,normalized_data/RectangleTable/m915_9079.obj,RectangleTable,1.368,0.02,0.322,6197.774,1.233,0.073,4.343,0.1775,0.1995,0.164,0.12,0.106,0.081,0.0655,0.0455,0.0255,0.0155,0.0245,0.1245,0.207,0.177,0.2355,0.149,0.0545,0.028,0.0,0.0,0.0585,0.1405,0.19,0.194,0.158,0.1165,0.1055,0.0355,0.0015,0.0,0.028,0.153,0.203,0.211,0.185,0.1275,0.0665,0.024,0.002,0.0,0.1285,0.326,0.2305,0.1565,0.0985,0.0445,0.015,0.0005,0.0,0.0
D00187_9876.obj,normalized_data/RectangleTable/D00187_9876.obj,RectangleTable,2.75,0.008,0.29,318299.894,1.246,0.03,6.166,0.1575,0.208,0.1655,0.1215,0.1295,0.097,0.0565,0.036,0.0195,0.009,0.0,0.0955,0.204,0.129,0.402,0.0895,0.0395,0.0405,0.0,0.0,0.058,0.1295,0.1985,0.185,0.1335,0.123,0.1405,0.027,0.005,0.0,0.0285,0.129,0.2025,0.215,0.2065,0.1325,0.0515,0.033,0.0015,0.0,0.0825,0.23,0.282,0.217,0.1295,0.05,0.009,0.0,0.0,0.0
m883_9197.obj,normalized_data/RectangleTable/m883_9197.obj,RectangleTable,4.547,0.235,1.0,1706.373,1.703,0.236,1.455,0.093,0.1375,0.244,0.188,0.159,0.0925,0.0445,0.026,0.0115,0.004,0.0,0.012,0.0175,0.045,0.0545,0.2575,0.287,0.143,0.1275,0.056,0.025967413441955193,0.057535641547861505,0.05855397148676171,0.062118126272912425,0.06313645621181263,0.14714867617107943,0.2225050916496945,0.15936863543788188,0.1384928716904277,0.06517311608961303,0.005399568034557235,0.024838012958963283,0.05777537796976242,0.08153347732181425,0.10475161987041037,0.1079913606911447,0.12742980561555076,0.1420086393088553,0.18466522678185746,0.16360691144708422,0.007537688442211055,0.043718592964824124,0.09698492462311557,0.14321608040201006,0.14824120603015076,0.1487437185929648,0.13618090452261306,0.1371859296482412,0.0914572864321608,0.04673366834170854
m912_9741.obj,normalized_data/RectangleTable/m912_9741.obj,RectangleTable,1.297,-0.026,0.25,3299.734,1.225,-0.103,10.733,0.2045,0.2065,0.1415,0.11,0.0755,0.0825,0.074,0.048,0.038,0.0195,0.037,0.142,0.251,0.181,0.1735,0.151,0.062,0.0025,0.0,0.0,0.069,0.16,0.223,0.1985,0.152,0.0905,0.0625,0.0385,0.006,0.0,0.0315,0.18,0.2665,0.222,0.159,0.0855,0.045,0.0095,0.001,0.0,0.1355,0.408,0.256,0.122,0.0555,0.0185,0.0035,0.001,0.0,0.0
m905_9960.obj,normalized_data/RectangleTable/m905_9960.obj,RectangleTable,5.22,0.033,0.859,134442.783,1.652,0.038,3.244,0.1455,0.1785,0.1935,0.1385,0.11,0.095,0.0645,0.0355,0.0235,0.0155,0.012709710218607015,0.03609557702084393,0.07371631926792069,0.08693441789527198,0.2643619725470259,0.2465683782409761,0.11642094560244026,0.061514997458057954,0.059989832231825115,0.041687849517031014,0.02834008097165992,0.07742914979757085,0.10425101214574899,0.11791497975708502,0.1417004048582996,0.14018218623481782,0.1584008097165992,0.13157894736842105,0.0652834008097166,0.034919028340080975,0.01228878648233487,0.07936507936507936,0.11571940604198669,0.12339989759344598,0.14644137224782386,0.15514592933947774,0.12237583205325141,0.11059907834101383,0.0855094726062468,0.04915514592933948,0.07260891337005508,0.22633950926389584,0.2058087130696044,0.12518778167250877,0.11316975463194792,0.10215322984476716,0.0701051577366049,0.0500751126690035,0.026039058587881823,0.008512769153730596
m901_8453.obj,normalized_data/RectangleTable/m901_8453.obj,RectangleTable,3.407,-0.105,0.581,3583.778,1.374,-0.213,2.22,0.0965,0.164,0.2195,0.164,0.1495,0.102,0.0545,0.027,0.017,0.006,0.0005,0.011,0.0425,0.1265,0.3965,0.2875,0.103,0.0325,0.0,0.0,0.046,0.09,0.0885,0.144,0.186,0.189,0.175,0.0695,0.011,0.001,0.0075,0.0535,0.112,0.1395,0.153,0.1795,0.1975,0.128,0.029,0.0005,0.0225,0.101,0.1975,0.2065,0.1845,0.1735,0.0905,0.022,0.002,0.0
m895_10002.obj,normalized_data/RectangleTable/m895_10002.obj,RectangleTable,1.949,0.026,0.198,11377.456,1.18,0.167,18.932,0.166,0.1955,0.139,0.133,0.121,0.08,0.067,0.049,0.0325,0.017,0.0175,0.0885,0.179,0.292,0.3205,0.1025,0.0,0.0,0.0,0.0,0.0685,0.151,0.2145,0.212,0.1455,0.139,0.062,0.0075,0.0,0.0,0.024,0.1675,0.2425,0.239,0.1875,0.109,0.03,0.0005,0.0,0.0,0.106,0.3685,0.327,0.1425,0.051,0.0045,0.0005,0.0,0.0,0.0
m875_10019.obj,normalized_data/RectangleTable/m875_10019.obj,RectangleTable,1.8,0.013,0.095,32143.263,1.069,0.191,12.854,0.215,0.1685,0.099,0.1235,0.14,0.11,0.0625,0.0445,0.0285,0.0085,0.0365,0.157,0.4035,0.3805,0.0105,0.012,0.0,0.0,0.0,0.0,0.1855,0.263,0.1515,0.191,0.1915,0.0165,0.0005,0.0005,0.0,0.0,0.0865,0.32,0.3925,0.1845,0.016,0.0005,0.0,0.0,0.0,0.0,0.1965,0.524,0.2585,0.02,0.001,0.0,0.0,0.0,0.0,0.0
m897_9488.obj,normalized_data/RectangleTable/m897_9488.obj,RectangleTable,1.639,0.016,0.156,16729.899,1.189,0.112,25.705,0.169,0.1975,0.1305,0.1245,0.143,0.1105,0.0675,0.033,0.0175,0.007,0.0,0.0,0.136,0.1685,0.284,0.4045,0.007,0.0,0.0,0.0,0.0665,0.147,0.1255,0.167,0.143,0.096,0.1325,0.121,0.0015,0.0,0.027,0.097,0.155,0.202,0.2005,0.181,0.1165,0.021,0.0,0.0,0.048,0.203,0.3,0.2935,0.145,0.0105,0.0,0.0,0.0,0.0
D00530_10563.obj,normalized_data/RectangleTable/D00530_10563.obj,RectangleTable,2.745,0.09,0.47,2573.0,1.337,0.193,2.343,0.1245,0.159,0.2135,0.1585,0.1255,0.1135,0.0555,0.0295,0.016,0.0045,0.004,0.026,0.044,0.2065,0.3035,0.217,0.109,0.0685,0.0215,0.0,0.0505,0.076,0.11,0.12,0.1465,0.2305,0.1485,0.099,0.0185,0.0005,0.019,0.0675,0.112,0.156,0.168,0.1605,0.1475,0.126,0.0415,0.002,0.032,0.1295,0.217,0.211,0.1705,0.111,0.0895,0.0345,0.005,0.0
m764_10710.obj,normalized_data/RectangleTable/m764_10710.obj,RectangleTable,2.049,-0.033,0.447,7832.813,1.234,-0.113,1.956,0.1375,0.1525,0.1945,0.1845,0.124,0.0905,0.056,0.0295,0.0185,0.0125,0.0265,0.099,0.153,0.2135,0.242,0.2555,0.0105,0.0,0.0,0.0,0.05,0.0965,0.149,0.199,0.2755,0.14,0.0745,0.0155,0.0,0.0,0.017,0.1005,0.1655,0.195,0.211,0.1625,0.1075,0.037,0.004,0.0,0.074,0.2325,0.2485,0.1885,0.137,0.079,0.0345,0.006,0.0,0.0
m709_6598.obj,normalized_data/Sword/m709_6598.obj,Sword,0.146,0.0,0.012,19602.602,1.0,0.137,1049.566,0.344,0.167,0.0895,0.0575,0.0465,0.0475,0.0545,0.057,0.068,0.0685,0.0935,0.2725,0.418,0.1065,0.0215,0.0535,0.0345,0.0,0.0,0.0,0.4335,0.2515,0.0615,0.041,0.064,0.1035,0.045,0.0,0.0,0.0,0.5635,0.28,0.129,0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.8795,0.1205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00249_6727.obj,normalized_data/Sword/D00249_6727.obj,Sword,0.12,-0.0,0.004,17172.748,1.001,-0.221,470.877,0.451,0.118,0.0475,0.029,0.0435,0.028,0.0345,0.0595,0.084,0.105,0.2445,0.3085,0.306,0.0735,0.0235,0.017,0.027,0.0,0.0,0.0,0.5405,0.2385,0.0635,0.043,0.053,0.037,0.024,0.0005,0.0,0.0,0.8115,0.183,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00356_5012.obj,normalized_data/Sword/D00356_5012.obj,Sword,0.193,-0.001,0.019,11414.803,1.0,-0.129,14.414,0.15065065065065064,0.22422422422422422,0.15315315315315314,0.1086086086086086,0.1111111111111111,0.08608608608608609,0.07057057057057058,0.046546546546546545,0.035035035035035036,0.014014014014014014,0.011,0.5295,0.425,0.0285,0.001,0.003,0.002,0.0,0.0,0.0,0.834,0.1505,0.002,0.0025,0.004,0.0035,0.003,0.0005,0.0,0.0,0.949,0.0465,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m689_5750.obj,normalized_data/Sword/m689_5750.obj,Sword,1.189,-0.033,0.294,1555.691,1.294,-0.298,3.714,0.1065,0.198,0.191,0.158,0.13,0.091,0.0535,0.043,0.0235,0.0055,0.048,0.1695,0.587,0.081,0.0455,0.0615,0.006,0.0015,0.0,0.0,0.0845,0.2855,0.318,0.1735,0.0975,0.029,0.01,0.0015,0.0005,0.0,0.0305,0.2255,0.391,0.239,0.0925,0.021,0.0005,0.0,0.0,0.0,0.0855,0.3875,0.373,0.136,0.018,0.0,0.0,0.0,0.0,0.0
m705_7910.obj,normalized_data/Sword/m705_7910.obj,Sword,0.402,0.002,0.032,14898.683,1.001,0.185,184.268,0.262,0.159,0.1275,0.103,0.0925,0.0755,0.052,0.0465,0.0485,0.0335,0.2385,0.3065,0.331,0.0245,0.0215,0.0235,0.0345,0.02,0.0,0.0,0.256,0.3305,0.2305,0.072,0.068,0.0345,0.008,0.0005,0.0,0.0,0.3065,0.378,0.165,0.094,0.0475,0.009,0.0,0.0,0.0,0.0,0.5705,0.4025,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m696_5548.obj,normalized_data/Sword/m696_5548.obj,Sword,0.14,-0.0,0.033,17812.49,1.0,-0.046,9.184,0.183,0.199,0.153,0.0975,0.1025,0.089,0.0605,0.0645,0.038,0.013,0.511,0.487,0.0015,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.8865,0.112,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.9275,0.0715,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.9915,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00992_5872.obj,normalized_data/Sword/D00992_5872.obj,Sword,0.223,-0.001,0.008,33319.14,1.0,-0.205,50.389,0.202,0.179,0.1105,0.1365,0.1235,0.09,0.0615,0.051,0.034,0.012,0.106,0.636,0.105,0.1465,0.0015,0.0025,0.0025,0.0,0.0,0.0,0.6575,0.3365,0.0,0.0,0.004,0.0015,0.0005,0.0,0.0,0.0,0.7925,0.199,0.008,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.978,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m691_8583.obj,normalized_data/Sword/m691_8583.obj,Sword,0.082,0.0,0.019,313246.809,1.0,0.01,1016.236,0.442,0.0905,0.0345,0.033,0.1125,0.0465,0.0175,0.0335,0.0665,0.1235,0.059,0.429,0.172,0.1645,0.141,0.0345,0.0,0.0,0.0,0.0,0.274,0.214,0.151,0.161,0.137,0.0495,0.0135,0.0,0.0,0.0,0.4865,0.3255,0.171,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m695_9880.obj,normalized_data/Sword/m695_9880.obj,Sword,0.291,-0.001,0.018,26628.644,1.0,-0.17,52.827,0.3125,0.125,0.094,0.089,0.101,0.0695,0.056,0.047,0.067,0.039,0.2575,0.2785,0.136,0.326,0.0,0.0015,0.0005,0.0,0.0,0.0,0.5805,0.3665,0.0505,0.0,0.002,0.0,0.0005,0.0,0.0,0.0,0.7965,0.2,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00177_5076.obj,normalized_data/Sword/D00177_5076.obj,Sword,0.217,-0.001,0.021,12781.768,1.0,-0.175,75.607,0.2555,0.162,0.123,0.117,0.0805,0.057,0.0565,0.0705,0.0455,0.0325,0.314,0.4295,0.255,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.391,0.313,0.274,0.0185,0.0015,0.0015,0.0005,0.0,0.0,0.0,0.5235,0.35,0.093,0.0325,0.001,0.0,0.0,0.0,0.0,0.0,0.815,0.1845,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00133_7203.obj,normalized_data/Sword/D00133_7203.obj,Sword,0.585,-0.003,0.031,27577.603,1.0,-0.205,93.18,0.2725,0.1895,0.1045,0.0745,0.063,0.0635,0.0735,0.066,0.061,0.032,0.2445,0.363,0.3625,0.004,0.0035,0.0055,0.0115,0.0055,0.0,0.0,0.5735,0.2965,0.0625,0.0255,0.014,0.016,0.0115,0.0005,0.0,0.0,0.7455,0.232,0.02,0.002,0.0005,0.0,0.0,0.0,0.0,0.0,0.946,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00066_6606.obj,normalized_data/Sword/D00066_6606.obj,Sword,0.242,-0.001,0.011,42931.47,1.0,-0.177,243.206,0.289,0.1865,0.102,0.0855,0.06,0.05,0.0575,0.054,0.0675,0.048,0.039,0.4715,0.3375,0.134,0.0075,0.0065,0.004,0.0,0.0,0.0,0.726,0.2165,0.015,0.0155,0.0115,0.0115,0.004,0.0,0.0,0.0,0.836,0.1515,0.0115,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.9935,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00906_6508.obj,normalized_data/Sword/D00906_6508.obj,Sword,0.218,0.001,0.021,19101.924,1.0,0.164,49.456,0.2375,0.167,0.121,0.1195,0.087,0.077,0.0575,0.067,0.045,0.0215,0.018,0.43,0.3185,0.223,0.005,0.003,0.0025,0.0,0.0,0.0,0.6325,0.342,0.004,0.006,0.0065,0.006,0.003,0.0,0.0,0.0,0.802,0.186,0.0105,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m715_5548.obj,normalized_data/Sword/m715_5548.obj,Sword,0.14,-0.0,0.033,17812.49,1.0,-0.046,9.184,0.1835,0.206,0.1485,0.0995,0.09,0.0955,0.0725,0.056,0.039,0.0095,0.5175,0.482,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.8885,0.1095,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.933,0.0655,0.001,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00540_8181.obj,normalized_data/Sword/D00540_8181.obj,Sword,0.136,-0.001,0.007,7600.031,1.0,-0.234,1556.509,0.518,0.064,0.035,0.018,0.024,0.0235,0.022,0.027,0.0655,0.203,0.1305,0.196,0.2245,0.266,0.0855,0.079,0.0185,0.0,0.0,0.0,0.252,0.1965,0.1555,0.13,0.1325,0.092,0.04,0.0015,0.0,0.0,0.5215,0.452,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m717_5082.obj,normalized_data/Sword/m717_5082.obj,Sword,0.072,-0.0,0.004,183056.17,1.0,-0.042,5688.525,0.5765,0.0475,0.0225,0.0125,0.023,0.0175,0.0135,0.0185,0.0495,0.219,0.0555,0.095,0.2495,0.3405,0.0605,0.199,0.0,0.0,0.0,0.0,0.277,0.1665,0.093,0.115,0.1175,0.139,0.0905,0.0015,0.0,0.0,0.7305,0.2615,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00484_6873.obj,normalized_data/Sword/D00484_6873.obj,Sword,0.146,-0.0,0.012,19602.682,1.0,-0.137,1056.998,0.35,0.1425,0.0895,0.06,0.0545,0.0465,0.0565,0.076,0.0745,0.05,0.1065,0.289,0.382,0.1035,0.0205,0.0655,0.033,0.0,0.0,0.0,0.4145,0.2555,0.0625,0.045,0.062,0.109,0.0505,0.001,0.0,0.0,0.553,0.2955,0.1275,0.0235,0.0005,0.0,0.0,0.0,0.0,0.0,0.8945,0.1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m710_6610.obj,normalized_data/Sword/m710_6610.obj,Sword,0.242,0.001,0.011,42942.481,1.0,0.177,236.542,0.296,0.175,0.1055,0.08,0.054,0.0565,0.055,0.072,0.068,0.038,0.037,0.4695,0.3425,0.1345,0.008,0.005,0.0035,0.0,0.0,0.0,0.7185,0.228,0.0125,0.0135,0.0125,0.011,0.004,0.0,0.0,0.0,0.8445,0.139,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9885,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m711_9457.obj,normalized_data/Sword/m711_9457.obj,Sword,0.23,-0.001,0.007,11401.671,1.0,-0.309,648.507,0.4275,0.12,0.0625,0.0435,0.036,0.0355,0.0345,0.054,0.0815,0.105,0.1565,0.273,0.3205,0.144,0.064,0.042,0.0,0.0,0.0,0.0,0.352,0.266,0.167,0.0915,0.0565,0.0515,0.0155,0.0,0.0,0.0,0.523,0.41,0.063,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.9505,0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00071_7223.obj,normalized_data/Sword/D00071_7223.obj,Sword,0.17,-0.001,0.018,6570.281,1.0,-0.152,87.75,0.2435,0.159,0.136,0.118,0.0845,0.0635,0.0535,0.053,0.0525,0.0365,0.097,0.179,0.4945,0.2245,0.0,0.004,0.001,0.0,0.0,0.0,0.52,0.425,0.035,0.0055,0.005,0.007,0.0025,0.0,0.0,0.0,0.673,0.28,0.04,0.0065,0.0005,0.0,0.0,0.0,0.0,0.0,0.932,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m331_9538.obj,normalized_data/Hand/m331_9538.obj,Hand,1.313,-0.053,0.2,799.705,1.014,-0.527,10.094,0.1335,0.2055,0.1755,0.1425,0.108,0.092,0.0625,0.05,0.024,0.0065,0.0115,0.1725,0.3095,0.3125,0.185,0.009,0.0,0.0,0.0,0.0,0.065,0.212,0.275,0.239,0.131,0.0625,0.015,0.0005,0.0,0.0,0.0255,0.188,0.314,0.2835,0.156,0.0325,0.0005,0.0,0.0,0.0,0.091,0.335,0.39,0.1635,0.0205,0.0,0.0,0.0,0.0,0.0
m333_8113.obj,normalized_data/Hand/m333_8113.obj,Hand,2.025,-0.162,0.445,314.766,1.151,-0.695,3.582,0.09,0.201,0.2075,0.1775,0.1375,0.089,0.0515,0.031,0.012,0.003,0.0,0.0265,0.251,0.4085,0.225,0.089,0.0,0.0,0.0,0.0,0.0355,0.125,0.221,0.273,0.2075,0.0965,0.034,0.0075,0.0,0.0,0.011,0.092,0.191,0.2825,0.2615,0.1315,0.029,0.0015,0.0,0.0,0.0385,0.1755,0.2735,0.314,0.1685,0.0285,0.0015,0.0,0.0,0.0
m334_8566.obj,normalized_data/Hand/m334_8566.obj,Hand,2.039,0.083,0.243,1228.635,1.06,0.608,18.442,0.1515,0.206,0.1765,0.1315,0.0995,0.0795,0.0655,0.055,0.0285,0.0065,0.04,0.136,0.196,0.274,0.297,0.057,0.0,0.0,0.0,0.0,0.0785,0.18,0.2395,0.212,0.158,0.094,0.037,0.001,0.0,0.0,0.02,0.1725,0.2935,0.249,0.166,0.07,0.0265,0.0025,0.0,0.0,0.0835,0.372,0.378,0.144,0.022,0.0005,0.0,0.0,0.0,0.0
D01006_7929.obj,normalized_data/Hand/D01006_7929.obj,Hand,2.027,-0.111,0.355,671.289,1.171,-0.638,4.637,0.1055,0.202,0.197,0.1505,0.1285,0.0925,0.066,0.036,0.0185,0.0035,0.011,0.062,0.266,0.3675,0.2285,0.056,0.009,0.0,0.0,0.0,0.0565,0.186,0.275,0.2345,0.138,0.0745,0.0275,0.007,0.001,0.0,0.0205,0.155,0.276,0.286,0.188,0.0685,0.006,0.0,0.0,0.0,0.064,0.2875,0.3535,0.222,0.068,0.005,0.0,0.0,0.0,0.0
D01024_8571.obj,normalized_data/Hand/D01024_8571.obj,Hand,2.039,0.083,0.243,1228.636,1.069,0.608,18.422,0.147,0.203,0.1705,0.1395,0.095,0.08,0.067,0.0485,0.0355,0.014,0.038,0.1445,0.1925,0.2755,0.305,0.0445,0.0,0.0,0.0,0.0,0.0645,0.171,0.249,0.2255,0.1515,0.095,0.042,0.0015,0.0,0.0,0.026,0.1815,0.283,0.257,0.1535,0.0755,0.0205,0.003,0.0,0.0,0.073,0.3585,0.376,0.1645,0.028,0.0,0.0,0.0,0.0,0.0
m332_10159.obj,normalized_data/Hand/m332_10159.obj,Hand,2.533,-0.242,0.632,277.636,1.077,-0.787,2.079,0.0845,0.1785,0.2125,0.1925,0.136,0.102,0.0545,0.024,0.014,0.0015,0.0115,0.0365,0.0815,0.362,0.4525,0.056,0.0,0.0,0.0,0.0,0.0285,0.112,0.18,0.2535,0.238,0.15,0.037,0.001,0.0,0.0,0.01,0.056,0.1475,0.243,0.2545,0.207,0.073,0.009,0.0,0.0,0.023,0.141,0.2485,0.2685,0.2175,0.088,0.0135,0.0,0.0,0.0
D01060_8729.obj,normalized_data/Hand/D01060_8729.obj,Hand,1.491,0.043,0.183,1765.67,1.037,0.512,11.199,0.1495,0.22,0.1705,0.123,0.096,0.0845,0.075,0.0485,0.0265,0.0065,0.033,0.254,0.312,0.214,0.1665,0.0205,0.0,0.0,0.0,0.0,0.1105,0.269,0.2865,0.1855,0.084,0.047,0.0165,0.001,0.0,0.0,0.0545,0.258,0.323,0.243,0.1055,0.0155,0.0005,0.0,0.0,0.0,0.1315,0.47,0.31,0.0835,0.005,0.0,0.0,0.0,0.0,0.0
m325_8498.obj,normalized_data/Hand/m325_8498.obj,Hand,1.491,0.044,0.197,1714.648,1.05,0.483,10.026,0.136,0.2185,0.1645,0.141,0.11,0.077,0.071,0.0475,0.0245,0.01,0.0235,0.2235,0.334,0.215,0.172,0.032,0.0,0.0,0.0,0.0,0.1055,0.2635,0.27,0.214,0.0895,0.037,0.019,0.0015,0.0,0.0,0.038,0.267,0.336,0.2475,0.092,0.0195,0.0,0.0,0.0,0.0,0.126,0.4215,0.345,0.0945,0.013,0.0,0.0,0.0,0.0,0.0
D01093_8471.obj,normalized_data/Hand/D01093_8471.obj,Hand,0.929,-0.024,0.162,1403.451,1.012,-0.31,11.32,0.15,0.199,0.1705,0.135,0.105,0.086,0.063,0.0515,0.028,0.012,0.0305,0.27,0.353,0.19,0.109,0.0475,0.0,0.0,0.0,0.0,0.081,0.248,0.317,0.196,0.0965,0.048,0.0135,0.0,0.0,0.0,0.044,0.2535,0.354,0.2485,0.089,0.011,0.0,0.0,0.0,0.0,0.1155,0.425,0.362,0.0955,0.002,0.0,0.0,0.0,0.0,0.0
m327_9276.obj,normalized_data/Hand/m327_9276.obj,Hand,1.696,-0.084,0.249,699.09,1.027,-0.678,9.211,0.123,0.2035,0.162,0.153,0.1235,0.086,0.0775,0.043,0.019,0.0095,0.022,0.128,0.311,0.3235,0.21,0.0055,0.0,0.0,0.0,0.0,0.0595,0.197,0.262,0.2505,0.1615,0.0555,0.0135,0.0005,0.0,0.0,0.022,0.156,0.2835,0.309,0.169,0.0555,0.0045,0.0005,0.0,0.0,0.064,0.3235,0.39,0.198,0.0245,0.0,0.0,0.0,0.0,0.0
